Respondent,Assignment,Activities,Airline.01a_OE (Pre20),Airline.01b_OE (Pre20),Airline.01c_OE (Pre20),Airline.02a_OE (Pre20),Airline.02b_OE (Pre20),Airline.02c_OE (Pre20),Airline.02d_OE (Pre20),Crude.2a_OE,Crude.2bc_MCOE (Pre 19),Crude.2bc_MCOE (Pre 19) follow up,Crude.3a_MC (Pre19 v2),Crude.3bc_MCOE (Pre19 v2),Crude.3bc_MCOE (Pre19 v2) follow up,Crude.04ab_MCOE (Pre19),Crude.04ab_MCOE (Pre19) follow up,Crude.06_OE (Pre19 v2),Crude.06_OE (Pre19 v2) follow up,Crude.06a_MC (Pre20),Crude.06bc_OE (Pre20 ),Crude.06bc_OE (Pre20 ) follow up,Crude.2a_MC (Pre20),Crude.2b_MC_sort,Crude.2b_MC [119]_1,Crude.2b_MC [119]_2,Crude.2b_MC_drag (Pre20),Crude.2b_MC_drag (Pre20)_1,Crude.2b_MC_drag (Pre20)_2,Wildlife .01a_OE (Pre20),Wildlife .01b_OE (Pre20),Wildlife .01c_OE (Pre20),DDT.02a_OE (Pre19),DDT.02b_OE (Pre19),Word.MC.01 (Pre 19),Word.03_MC (Pre 19),Word.04a_OE (Pre 19),Word.04b_OE  (Pre19),Glow.01a.MC_NoLabels,Glow.01c.MC,Glow.02a.MC,Glow.02b.MC,Glow.02c.MC,Glow.03a.MC,Glow.03b.MC.grh,Glow.03b.MC.eq,Glow.04a.MC,Glow.04b.MC.grh,Glow.04b.MC.eq,Pop.01_MC (Pre20) [12],Pop.02_MC (Pre20) [12],Pop.03ab_MCOE (Pre20) [66],Pop.03ab_MCOE (Pre20) [66] follow up,Pop.04_OE (Pre20) [13-16],Pop.04_OE (Pre20) [13-16]_1,Pop.04_OE (Pre20) [13-16]_2,Pop.04_OE (Pre20) [13-16]_3,Pop.04_OE (Pre20) [13-16]_4,Pop.04_MC_drag (Pre20) [ ],Pop.04_MC_drag (Pre20) [ ]_1,Pop.04_MC_drag (Pre20) [ ]_2,Pop.04_MC_drag (Pre20) [ ]_3,Pop.04_MC_drag (Pre20) [ ]_4,Pop.07ab_OE,Pop.07ab_OE follow up,Pop.09ab_MCOE (Pre20),Pop.09ab_MCOE (Pre20) follow up,Pop.09_MC_sort (Pre20),Population.09_MCMC_1,Population.09_MCMC_2,Pop.10ab_MCOE (Pre20),Pop.10ab_MCOE (Pre20) follow up,Pop.10_MC_sort (Pre20),Population.10_MCMC_1,Population.10_MCMC_2,Cycle.02_MC_sort (Pre20),Cycle.02_MC_1,Cycle.02_MC_2,Cycle.02_MC_3,Cycle.02_MC_4,Cycle.03a_OE (Pre19),Cycle.3a_MC_S,Cycle.3a_MC_1,Cycle.04ab_MCOE [22],Cycle.04ab_MCOE [22] follow up,Pest.02a_MC,Pest.02b_OE,Pest.03_OE (Pre19),Pest.03_OE (Pre19)_1,Pest.03_OE (Pre19)_2,Pest.03_OE (Pre19)_3,Pest.03_OE (Pre19)_4,Pest.03_MC_drag,Pest.03_MC_drag_1,Pest.03_MC_drag_2,Pest.03_MC_drag_3,Pest.03_MC_drag_4,Pest.05.05a_MCOE,Pest.05.05a_MCOE follow up,Pest.06a_MC,Pest.06b_OE,Pest.06ab_MC_sort (Pre20),Pest.06_MCMC_1,Pest.06_MCMC_2,Pest.07a_MC,Pest.07ab_OE,Pest.07ab_MC_sort,Pest.07_MCMC_1,Pest.07_MCMC_2,Pest.06_MC_drag,Pest.06_MC_drag_1,Pest.06_MC_drag_2,Pest.07ab_MC_drag (Pre 20),Pest.07ab_MC_drag (Pre 20)_1,Pest.07ab_MC_drag (Pre 20)_2,Water.01a_MC,Water.01b_OE,Water.01b_MC_sort (Pre20),Water.01b_MC_1,Water.01b_MC_drag (Pre20),Water.01b_MC_drag (Pre20)_1,Brake .02_MC (Pre20 no label),Garden.2.1_2.8_NU (Pre19),Garden.2.1_2.8_NU (Pre19)_1,Garden.2.1_2.8_NU (Pre19)_2,Garden.2.1_2.8_NU (Pre19)_3,Garden.2.1_2.8_NU (Pre19)_4,Garden.2.1_2.8_NU (Pre19)_5,Garden.2.1_2.8_NU (Pre19)_6,Garden.2.1_2.8_NU (Pre19)_7,Garden.05ab_MCOE  (Pre20),Garden.05ab_MCOE  (Pre20) follow up,Garden.02_MC (Pre20),D.04_grade_level,D.05_gender,D.09_Race_ethnicity,D.10_Math_courses,D.11_Apcourses,D.12_IB,D.02_Class,D.03_Teacher,D.08_hispanic_YN,D.06_English_LearnerYN,D.07_English_proficiency,D.01_Consent
1024,1283,PSM_Pretest_2020_D(c),Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
1893,2292,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,c,I do not know,I do not know,e,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",I do not know.,"All information that falls in the California row,",I do not know.,I do not know.,I do not know.,,,I do not know,I do not know.,d,,b,,a,,,,,,,d,a,,,=   answer    =   year 1965    =   The current year you are choosing    =   how many years apart is 1965 to the year you are choosing,answer,year 1965,The current year you are choosing,how many years apart is 1965 to the year you are choosing,,,,,,I do not know,I do not know,a,it is a better source to actually show what is happening,,,,b,I do not know,,,,: d;: a;: c;: b,d,a,c,b,,: d,d,c,The length,a,I do not know,,,,,,: 7; : 6;: 9;: 4,h,g,j,e,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,3",a,"c,d",,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1074,1340,PSM_Pretest_2020_F,Passengers arriving in San Francisco typically increased in the summer time and decreased in the winter.,The  spikes in the graph that shows the increase in arrivals and the dips that show decreasing passengers arriving.,"Ticket prices, religious reasons, less flights in the winter.",February through July .,The labels on the graph showed me the months where the increase started and where it peaked.,Ticket prices?,Yes because it shows the increase and decrease in foreign arrivals.,,,,,,,,,,,b,The graph has points which show the decreased oil production over a few decades and they appear as dips in the graph.,"Economic depression , Vietnam War","c,d",,,,"Representation: 1;Reason(s): 2,7",b,"c,h",,,,It is a straight line and the graph shouldn't be a straight line.,The curve of the graph matches the situation described above,,,"Ken is memorizing words at a faster pace in the beginning and then he starts to slow down, so Maya's graph is wrong because it is a straight line but there is a change in Ken's memorization of words.","Mason's graph shows the change in words memorized by Kent but the points that shows the amount of words memorized are inaccurate. At 24 minutes the amount of words memorized should be .625 not .8 and same thing for 32 minutes, the amount of words memorized decreases to .125 not .4",d,,d,,d,,,,b,,a,d,a,,,=   population after x years    =   starting population    =   rate of change    =   years,population after x years,starting population,rate of change,years,,,,,,There was a surplus of food for everyone.,x at 50 years for population is lower than the amount of food available.,a,It accurately shows the amount of food exceeds the amount needed in the country  for the next 20 years.,,,,b,The equations would be easier to use because all you would have to do is input the numbers for each variable and then solve it.,,,,: e;: a;: c;: b,e,a,c,b,,,,b,The slope of the graphs. Robin's slope is steeper so she is going to reach the bottom faster than Angel who is climbing uphill.,d,"The equation has a starting population and so does the graph, it also has a rate of change and a variable for time which you can pull numbers from the graph to fill inthe equation to solve it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,"Justification: 3,7","d,h",c,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1076,1343,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,c,The increase and/or decrease in value.,"Maybe they had a hard time finding new oil drilling locations or had complications with other countries in acquiring oil, or maybe the oil companies had complications.",c,,,,Representation: 1;Reason(s): 2,b,c,There is a significantly higher number of vehicle collisions with one of the smallest amounts of wildlife-vehicle collisions.,The title above the boxes.,The proportion of the population in urban areas.,"The half-life was 15 years, not 75.",The graph matches perfectly with the statement above. The DDT fertilizer loses half its life every 15 years.,,,"You can't memorize words with zero minutes of studying. And then, as time goes by, she memorizes the same words at the same pace throughout her entire studying session.","As time goes by, you should be memorizing new words, not the other way. It's like the person depicted in his graph is losing his memory.",e,,d,,a,,,,,,,b,b,,,=   Total Population    =   4% increase(0.4)    =   Total population before the year before    =   Years since 1965,Total Population,4% increase(0.4),Total population before the year before,Years since 1965,,,,,,"The food supply grows in a linear pattern, while the population grows in an exponential form.",The way the graphs started and the predicted outcome.,b,The Department of Agriculture will receive a more accurate representation than the graph will provide.,,,,b,The congress members can plug in specific values into the equation to get their answers.,,,,: e;: a;: c;: b,e,a,c,b,,: b,b,a,"I looked at where the line ends for both graphs and also looked at the ""x""(minutes), how long they took to reach 0 or 2000 feet.",d,"It's not linear like the equation for A, but also similar to the graph with the pesticides.",,,,,,: 0; : 8;: 3;: 9,a,i,d,j,,,,,,,,,,,,,Representation: 0;Reason(s): 3,a,d,,,,,,,,,,d,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1114,1381,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,c,the values on the graph,the oil was lower.,"b,d,e",,,,"Representation: 0;Reason(s): 3,6",a,"d,g",California has the most car collisions and the least wildlife collisions.,The car collision numbers and the wildlife collision number.,The high population and low wildlife population.,Does not have half of what is given.,Does not have half of what is given.,,,She drew the line wrong.,The line was also drawn wrong.,d,,d,,d,,,,,,,b,b,,,=   23    =    42    =   5.4    =   17,23,42,5.4,17,,,,,,It will stay steadily growing.,It stayed straight.,a,It is easier to read and understand.,,,,a,It is easier to read and understand.,,,,: c;: a;: b;: d,c,a,b,d,,": a,b","a,b",b,the time was lower.,b,It has a curve that will go to infinity and also has an asymptote.,,,,,,: 9; : 6;: 1;: 5,j,g,b,f,,,,,,,,,,,,,"Representation: 0;Reason(s): 6,2",a,"g,c",,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1130,1391,PSM_Pretest_2020_E(c),,,,,,,,,,,,,,,,,,a,the graph because of the jump of the points of the graph and the difference in numbers on the table.,The reason might be that they found a good spot of oil and it drove the numbers up.,"c,e",,,,"Representation: 1;Reason(s): 2,7",b,"c,h","For the amount of total umber of vehicle collision compared to the number of wildlife-vehicle collisions, they have a more significant number of vehicle collisions that wildlife-vehicle collisions than any other state.",That because there population proportion in urban areas is 95.0% it is going to be certain that they have higher vehicle collisions than any other state but it doesn't make much sense that their wildlife-vehicle collisions are so much lower.,"The reason might be that because more areas of the state is filled with more people that animals, it would give reason on why their vehicle collisions is much higher that wildlife-vehicle collisions.",This graph doesn't match at all because the half life of DDT says it's every 15 years but according to the graph it's showing us that the half life is every 75 years which isn't correct.,"This graph match match the data of the half life we were given. If you look at 500 DDT, it shows us that it's been about 15 years since the initial measurement which is showing us this is the proper half life graph.",,,The graph wouldn't be constant with how many words he could memorize in a minute. It would fluctuate.,This graph is wrong because his graph is saying it's constant and then decrease but all it does is increase then slow down.,c,,a,,d,,,,,,,a,b,,,=   the ending result at which is starts at     =   the constant at which it starts at     =   the rate at which it grows    =   time at which is grows,the ending result at which is starts at,the constant at which it starts at,the rate at which it grows,time at which is grows,,,,,,This is where they are currently in real time.,"After that point in the graph, the graph then becomes a dotted line saying that is what is predicted to come.",b,"Because if they decide to change the numbers the graph wouldn't be useful anymore since the numbers wouldn't be right, but if they use the equations they can get the exact numbers they need.",,,,a,They can use the graph to see where the numbers will be instead of coming up with whole new numbers themselves.,,,,: e;: a;: c;: b,e,a,c,b,,: d,d,a,Because the slope of the red line is greater the slope of the blue live and that is given by the graph.,d,"Given the slope of the curve, there has to be an exponent and that's the only one that has one.",,,,,,: 9; : 0;: 4;: 2,j,a,e,c,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,7",b,"e,h",,,,,,,,,,c,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1099,1366,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,during the 1980s oil production went down,im not sure,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",it is way less than other states,the numbers are smaller,people drive more carefully or they don't allow vehicles in places where there is alot of wildlife,it decreases constantly,it goes down with time but not constant,,,it's constant though the data from Ken's is not,It shows a decrease in the time and number of words when Ken's graph increased,d,,b,,c,,,,,,,a,c,,,=   the growth    =   the number of people    =   years since 1965    =   no idea,the growth,the number of people,years since 1965,no idea,,,,,,There would be more people than available- food.,The solid line that shows newland's population is higher than the one that shows the food supply.,a,Because it shows the data without having to use an equation to figure it out,,,,b,The equation can be used to find a specific year when inputting the number of people and other variables.,,,,: d;: c;: e;: b,d,c,e,b,,,,a,the amount of time it took angel looks to be less than the amount of time it took robin,b,honestly dont even know,,,,,,: 9; : 7;: 5;: 3,j,h,f,d,,,,,,,,,,,,,"Representation: 1;Reason(s): 4,5",b,"e,f","Representation: 0;Reason(s): 7,3",a,"h,d",a,,,,"Justification: 1,0","b,a",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1156,1418,PSM_Pretest_2020_D(c),They both increase  in the summer and drop in the winter,The location of the peaks and the troughs.,People visiting due to summer.,In January,Asia rebounds are than the ones Europe have after the decline after summer.,More Europeans practice Christmas so they might be able to travel during that time.,"Yes it does. If the goal is to focus on one group during a time where there is a large difference in the visits,  then the best combination is Europeans during winter.  You would then be able to focus on European values that take place in winter (i.e. Christmas).",,,,,,,,,,,,,,d,,,,,-,-,,,,"This is constant, but half life decreases exponentially.",This graph is exponential and matches the idea that half life is exponential,,,Maya's graph makes it seem learning is constant and that there is no limit.,Mason's graph makes it seem he already knew or learned words before they started studying.,c,,b,,a,,,,b,,a,d,b,,,=   Total amount of people in millions    =   Population at 1965 in millions    =   Rate at which people are born    =   Years since 1965,Total amount of people in millions,Population at 1965 in millions,Rate at which people are born,Years since 1965,,,,,,"As the food supply grows,  the population grows.",Both lines are positive,a,Graphs are an easier to understand and comprehend.  The graph is a visual representation and gives meaning to the numbers from the equation.,,,,b,The year would be able to be found easier and more accurately.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1110,1377,PSM_Pretest_2020_C,,,,,,,,,,,,,,,,,,c,"There was a high spike in production after a steady rise. Upon hitting 1980, the graph trended down and stagnated for a decade, before resuming steady growth in 1990.","A large part of it was most likely the Iranian revolution of 1779. During overthrowing the unjust monarch appointed after Americas imperialistic coup of a democratically elected leader, the government went into some instability. During this instability, Iraq invaded. Considering the revolution and invasion and unstable government, their most chief concern was probably not whether or not they could produce oil. This explains the prices drop for that decade as turmoil raged on.",c,,,,"Representation: 1;Reason(s): 5,2",b,"f,c",,,,"The Initial measurement is right, but the decrease would be exponential, as half of the current mass would decrease each time, not the original.","This is a perfect graph. Since half of the previous value is decaying each time instead of a constant linear decrease, it would be an exponential decrease in mass of DDT.",,,The problem with Maya's graph is that unlike Kens it is constant.,The problem with Mason's graph is that unlike Kens he loses the ability to memorize words at time marches onwards.,a,,b,,d,,,,a,b,,d,b,,,"=   The Y value equals the population at a certain year    =   A is the starting value, in this case the 2000000 base population    =   R is the rate of change/growth, in this case .04     =   X value is the time, in years since 1965",The Y value equals the population at a certain year,"A is the starting value, in this case the 2000000 base population","R is the rate of change/growth, in this case .04","X value is the time, in years since 1965",,,,,,There was more food supply then population.,"The black line, in this case food supply, has a higher Y value then the red line, in this case population.",a,"The graphs show that Newlands food supply will be in excess of their population for the next 20 years, and thus it would be acceptable to offload some by exportation. The graph shows the correlation between the two instead of simply having two distinct equations.  Furthermore these are politicians not mathematicians, so it would help to present them with a visual instead of something beyond their grasp. Only with graphs could they make it through the maze of bureaucracy.",,,,a,"The graph shows more of a direct correlation between the two, and when the Y value of the population exceeds the Y value of the food supply by 1.25 million that is their answer. Also, the Department of Agricultures proposal was in increase exportation of food products thus lowering food supply, so this would show that there would be more time if they shot down the proposal.",,,,: d;: a;: c;: b,d,a,c,b,,: c,c,a,"Angel touched the X axis much quicker then Robin reached where her line started, or her starting elevation.",d,The equation is exponentially increasing based off a rate of change.,=   The spore density    =   The starting spore density    =   The rate of exponential change    =   The time since planting,The spore density,The starting spore density,The rate of exponential change,The time since planting,,,,,,,,,,,,,,,,,,,,,,,,b,"Tunnel 2 has peak of less water supplied, but the much higher steady stream of water flow would result in a greater average.",,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1119,1386,PSM_Pretest_2020_F,They have peak and go down at the same rate,How it looks,"It looks like people travelled here more in the summer, likely for vacation",Summer,Arrivals peak in july,Summer for vcation,"Somewhat, because it showss that volume of travelers increases drasticaly in the summer",,,,,,,,,,,c,The graph is decreasing,Possibly an economic crisis,"b,c",,,,"Representation: 1;Reason(s): 2,7",b,"c,h",,,,Things that have half lives will never reach exactly 0 like the graph depicts,IT shows exponentil which is how half life graphs work,,,Their x and y terms are incorrect and disproportionate,same,a,,a,,c,,,,a,b,,d,b,,,=   Number of people    =   not sure    =   not sure    =   years,Number of people,not sure,not sure,years,,,,,,The population will surpass the food supply,The population graph is exponential,a,Because it shows that the population will surpass the expected amount of food supply,,,,b,Because it allows you to more precisely calculate the estimations,,,,: d;: e;: c;: b,d,e,c,b,,,,a,Angels graph ends farther left on the x axis,d,It is exponential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,,,,"Justification: 6,7","g,h",d,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1111,1378,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,"From looking at the graph oil production started to slowly slow down starting in 1980, when there was a drastic decrease.",A reason for different pattern in oil production could have been a shortage in oil or not a good enough supply to obtain oil from.,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",California has a lot more vehicle collision and a lot less wildlife collisions compared to other states.,The total number of vehicle collisions and total number of wildlife vehicle collisions.,There is a higher population of people in California and less wildlife.,After every 15 years the DDT losses half of its mass but its too slow.,"After every 15 years the DDT losses half of its mass, this graph shows at a faster rate",,,As time goes on the brain slows down and is not able to stay at a constant rate of reading and undertstanding.,"His decrease in number of words memorized is too drastic, for it should be decreasing at a slower rate.",a,,b,,d,,,,,,,d,d,,,=   What the equation is equal to or represents     =   initial amount    =   growth rate per time period     =   The number of time intervals passed,What the equation is equal to or represents,initial amount,growth rate per time period,The number of time intervals passed,,,,,,"Both Newland's population and food supply are increasing, but food supply in increasing at a faster rate.",The projected population and how the graphs were curved lead me to my answer in [a].,a,The graphs directly shows what happens when more food supply is added as the population grows. It also shows future projections of how old supply and population will look like.,,,,b,"The equations can show the direct year the country will outstrip its food supply. Also, equations are more exact than looking at a graph.",,,,: e;: a;: c;: b,e,a,c,b,,,,a,"The x or when the line stops, shows at what time they reached their destination. Angel's line stopped before Robin's did, therefore, Angel made it to her destination faster.",d,The exponential growth/ decay formula shows how fast something will decay or grow and show its results.,,,,,,: 1; : 3;: 8;: 0,b,d,i,a,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,3",a,"c,d","Representation: 1;Reason(s): 4,5",b,"e,f",b,,,,"Justification: 0,3","a,d",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1115,1382,PSM_Pretest_2020_D(c),"The patterns in passenger arrivals from Europe and Asia are similar because both are at their highest in July, and then fall back down in January and then increase again",The x axis that alternates between july and january and the points on the graph of each country that are the lowest and the highest are what i used to draw my conclusion,People travel more in july because it is summer and more people are taking vacations.,2010,Because Asia's line and Europes line are furthest in 2010 and that would indicate there being a bigger difference of passenger arrivals,tourism was less popular and has grown in popularity which is why the lines get closer and the passenger arrivals increase,It does not because although this graph shows data it is merely just facts and not persuasive like material in an. effective marketing campaign.,,,,,,,,,,,c,All other years the pattern is increasing but the in the 1980s the pattern shows a decrease,"The introduction of other fuel sources like hydropower, solar power, natural gas",c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",,,,Half life graphs are typically curved with rather than a straight line.(curved line represents half life exponential equation),This graph because it is curved and represents an exponential equation that is used to determine half life,,,The length of time has no effect on number of words memorized which contradicts the original graph,It contradicts the original graph because as time goes on memory of words decreases when it would actually increase.,d,,d,,a,,,,a,b,,d,c,,,=   population of newland    =   growth rate    =   number of people(millions)    =   years since 1965,population of newland,growth rate,number of people(millions),years since 1965,,,,,,there will be enough food to sustain population because there is more food than population,the point of black line at 50 years and the point of red line at 50 years,a,To show the trend to members of congress visually so its easier to interpret,,,,b,When looking for a single value it is easier to simply use an equation,,,,: d;: e;: c;: b,d,e,c,b,,: b,b,a,"Angel's red line ends sooner than the blue line, thus she made it to her destination faster.",d,The graph above is exponential and the equation i chose is an exponential equation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1118,1385,PSM_Pretest_2020_A(c),,,,,,,,,b,the table gives exact values so i could easily see the differences,,,,,,,,c,The appearance of the slope of the line between 1980-1990 is downwards in contrast to the overall slope which is upwards,less oil being produced,c,,,,,,,,,,"The graph cannot be linear, it needs to be exponential; however, it does match that the overall trend is decreasing. But the value should never hit 0.",This graph does match since it is exponential and decreasing while never hitting 0,,,"The graph line should start at 0,0 since Ken memorized 0 words in 0 minutes. Ken's graph was exponential, so a straight line is not justifiable","The graph line should start at 0,0 since Ken memorized 0 words in 0 minutes. And instead of a sharp, abrupt stop into a downwards slope, the graph should be an exponential line.",d,,d,,a,,,,,,,d,a,,,=   population    =   growth rate    =   initial population    =   years since 1965,population,growth rate,initial population,years since 1965,,,,,,Food supply is greater than population,Since the blue line representing food supply is above (greater than) the red line representing population at the specific time being analyzed (year 50 since 1965),a,"By using the graph, the congress can clearly see that population will increase beyond the food supply if change does not occur. The equations will not show that problem clearly",,,,b,"By using the equations, congress can plug in the numbers and see exactly when the country will outstrip. Using a graph will show a rough esitmate.",,,,: d;: a;: c;: b,d,a,c,b,,,,a,"The x axis is the time it took to complete the hike, Angel represented by the red line completed hers in a faster time than robin represented by the blue line",c,"a/x shows that at a constant increasing value of x, a is able to increase making the graph increasing infinitely.",,,,,,,,,,,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,3",a,"c,d","Representation: 1;Reason(s): 4,5",b,"e,f",,,,,,,b,,,,,,,,,a,"You cannot have a negative length, so do not include lengths below zero.",d,****,****,****,****,****,****,****,****,****,,,****
1117,1384,PSM_Pretest_2020_B,,,,,,,,,,,,,,,,,,c,The individual years are connected on the graph showing their relationship overall better.,They ran out of places to get oil from and needed to find new ones.,c,,,,"Representation: 1;Reason(s): 2,5",b,"c,f",California has the smallest percentage of wildlife related vehicle collisions because of the amount total vehicle collisions not related to wildfires.,the total number of vehicle collisions and proportion of wildlife-vehicle collisions,California has the most vehicle collisions.,"The graph doesn't match losing half of its mass on only 15 years, instead it shows an exact loss in mass every year.",This graph does show the exponential loss of mass in that it only loses half of the mass in 15 years.,,,Maya's graph didn't show any growth and was just stable which didn't help Ken's study.,Mason's graph decreased in learning over time which doesn't match Ken's own findings.,c,,d,,c,,,,,,,d,b,,,=   number of people    =   years since 1965    =   previous year's population    =   4% increase,number of people,years since 1965,previous year's population,4% increase,,,,,,The food supply is a more stable growth than the population that is exponential.,The food supply is a straight line and the population grows more slowly.,a,The graph above illustrates the food supply's growth better than an equation.,,,,b,"When estimating outcomes, the equation will give more of an exact solution to what year 1.25 million people will outstrip their food supply.",,,,: d;: a;: c;: b,d,a,c,b,,,,a,The X axis shows the time they each spent on getting to their destination and Angela's line takes up less x numbers so she got there faster.,d,The graph shows exponential growth so the equation should have an exponent.,,,,,,: 0; : 9;: 4;: 2,a,j,e,c,,,,,,,,,,,,,"Representation: 0;Reason(s): 5,3",a,"f,d","Representation: 1;Reason(s): 2,4",b,"c,e",b,,,,"Justification: 6,5","g,f",,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1109,1376,PSM_Pretest_2020_D(c),spikes at the same time of the year,they peaked on the same time in the year,best time of the year for tourism,january; the spring,the dips from the other months,worst time of the year for tourism,"yes because it tells the times when people come. It also tells where they come from. If they can appeal to where they come from, they could launch an effective marketing campaign.",,,,,,,,,,,b,there is a dip instead of its usual constant growth,oil crisis in oil producing country,c,,,,"Representation: 1;Reason(s): 2,7",b,"c,h",,,,after 15 years it did not half itself,it halves itself after 15 years its half life,,,its constant and not gaining,he is not memorizing the words over longer amounts of time,e,,b,,a,,,,a,b,,a,d,,,=   the equation    =   slope    =   rate of change    =   the solution,the equation,slope,rate of change,the solution,,,,,,there is more than enough food for the population,the food supply is way more than the population,a,because it shows the future and the ration between the two variables,,,,b,because it would be more accurate than the actual line,,,,: e;: a;: c;: d,e,a,c,d,,: c,c,a,because slope is steeper for angel,b,constantly multiplying itself so changing the growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,,,,,,,,,,,,****,****,****,****,****,****,****,****,****,,,****
1106,1373,PSM_Pretest_2020_A(c),,,,,,,,,b,Actual data values are quicker to interpret their numbers for rather than finding it from a graph,,,,,,,,c,Graph,Easier to see overall trends on a graph,c,,,,,,,,,,"Does not match the half-life, this is a linear graph. The amount left after 50 years should be around 80.",Matches the half-life. It would be exponential because it compounded (i.e. would be taking half of the mass of the already half-massed amount).,,,"The number of words memoized each time increases with every time increase, but the rate does not stay the same.","When the rate of words memoized does decline, it does so in an exponential way; not a linear way.",e,,d,,c,,,,,,,d,a,,,=   Population at that year being calculated    =   Initial population    =   rate of population growth    =   Years after 1965,Population at that year being calculated,Initial population,rate of population growth,Years after 1965,,,,,,Directly related,"As the population goes up, the food supply goes up",a,A graphical representation of an equation makes more sense because it has a visual element that makes it easier to convince people.,,,,b,"The equation allows a precise, empirical number.",,,,: e;: c;: a;: b,e,c,a,b,,,,a,The red line was a higher rate in reference to their destination points,d,It increases at a compounding rate.,,,,,,,,,,,,,,,,,,,,,,,"Representation: 0;Reason(s): 2,5",a,"c,f","Representation: 1;Reason(s): 2,4",b,"c,e",,,,,,,c,,,,,,,,,a,"Why does she have a negative length values, you can't have a negative length. I believe this would break the universe.","c,d",****,****,****,****,****,****,****,****,****,,,****
